Lectura regla,V. Acum.,Area,V. Parcial,Cota
11.21,1782303.00,996148.00,9956.00,1126.00
11.22,1792270.00,997322.00,9967.00,1126.00
11.23,1802249.00,998497.00,9979.00,1126.00
11.24,1812240.00,999671.00,9991.00,1126.00
11.25,1822243.00,1000874.00,10003.00,1126.00
11.26,1832257.00,1002077.00,10015.00,1126.00
11.27,1842284.00,1003279.00,10027.00,1126.00
11.28,1852323.00,1004482.00,10039.00,1126.00
11.29,1862374.00,1005685.00,10051.00,1126.00
11.30,1872437.00,1006888.00,10063.00,1126.00
11.31,1882512.00,1008091.00,10075.00,1126.00
11.32,1892599.00,1009294.00,10087.00,1126.00
11.33,1902698.00,1010497.00,10099.00,1126.00
11.34,1912808.00,1011699.00,10111.00,1126.00
11.35,1922931.00,1012902.00,10123.00,1126.00
11.36,1933067.00,1014105.00,10135.00,1126.00
11.37,1943214.00,1015308.00,10147.00,1126.00
11.38,1953373.00,1016511.00,10159.00,1126.00
11.39,1963544.00,1017714.00,10171.00,1126.00
11.40,1973727.00,1018917.00,10183.00,1126.00
11.41,1983922.00,1020120.00,10195.00,1126.00
11.42,1994129.00,1021322.00,10207.00,1126.00
11.43,2004349.00,1022525.00,10219.00,1126.00
11.44,2014580.00,1023728.00,10231.00,1126.00
11.45,2024823.00,1024931.00,10243.00,1126.00
11.46,2035078.00,1026134.00,10255.00,1126.00
11.47,2045346.00,1027337.00,10267.00,1126.00
11.48,2055625.00,1028540.00,10279.00,1126.00
11.49,2065917.00,1029742.00,10291.00,1126.00
11.50,2076220.00,1030974.00,10304.00,1126.00
11.51,2086536.00,1032206.00,10316.00,1126.00
11.52,2096864.00,1033438.00,10328.00,1126.00
11.53,2107205.00,1034669.00,10341.00,1126.00
11.54,2117558.00,1035901.00,10353.00,1126.00
11.55,2127923.00,1037133.00,10365.00,1126.00
11.56,2138300.00,1038365.00,10377.00,1126.00
11.57,2148690.00,1039596.00,10390.00,1126.00
11.58,2159092.00,1040828.00,10402.00,1126.00
11.59,2169507.00,1042060.00,10414.00,1126.00
11.60,2179933.00,1043291.00,10427.00,1126.00
11.61,2190373.00,1044523.00,10439.00,1126.00
11.62,2200824.00,1045755.00,10451.00,1126.00
11.63,2211288.00,1046987.00,10464.00,1126.00
11.64,2221764.00,1048218.00,10476.00,1126.00
11.65,2232252.00,1049450.00,10488.00,1126.00
11.66,2242753.00,1050682.00,10501.00,1126.00
11.67,2253266.00,1051914.00,10513.00,1126.00
11.68,2263791.00,1053145.00,10525.00,1126.00
11.69,2274329.00,1054377.00,10538.00,1126.00
11.70,2284879.00,1055609.00,10550.00,1126.00
11.71,2295441.00,1056841.00,10562.00,1126.00
11.72,2306015.00,1058072.00,10575.00,1126.00
11.73,2316602.00,1059304.00,10587.00,1126.00
11.74,2327201.00,1060536.00,10599.00,1127.00
11.75,2337813.00,1061847.00,10612.00,1127.00
